[0.3125, 6.375, -2.8125]
[-9.125, 3.5, -0.1875]
[-9.125, 3.5, -0.1875]
[-14.875, 2.875, -0.0625]
[-8.9375, 1.9375, -2.375]
[-8.9375, 1.9375, -2.375]
[-8.9375, 1.9375, -2.375]
[-1.4375, 0.3125, -2.0]
[0.0625, -1.8125, -1.125]
[0.0625, -1.8125, -1.125]
[-0.3125, -2.625, 2.0]
[-0.3125, -2.625, 2.0]
[3.3125, -1.9375, 4.6875]
[3.3125, -1.9375, 4.6875]
[6.4375, -2.6875, 5.5625]
[6.4375, -2.6875, 5.5625]
[8.0625, -4.25, 4.125]
[8.0625, -4.25, 4.125]
[8.5625, -7.1875, 5.375]
[8.5625, -7.1875, 5.375]
[13.375, -11.125, 7.1875]
[13.375, -11.125, 7.1875]
[19.5, -13.3125, 8.4375]
[19.5, -13.3125, 8.4375]
[19.75, -13.125, 3.75]
[19.75, -13.125, 3.75]
[11.375, -15.25, -1.5625]
[11.375, -15.25, -1.5625]
[5.5, -18.75, -3.25]
[5.5, -18.75, -3.25]
[14.5625, -20.9375, -1.5625]
[14.5625, -20.9375, -1.5625]
[25.75, -23.25, 1.375]
[25.75, -23.25, 1.375]
[35.375, -23.875, 3.1875]
[35.375, -23.875, 3.1875]
[36.9375, -22.75, 3.8125]
[36.9375, -22.75, 3.8125]
[36.9375, -22.75, 3.8125]
[38.0, -18.875, 4.5]
[34.625, -10.625, 6.0]
[34.625, -10.625, 6.0]
[28.9375, -1.875, 13.9375]
[28.9375, -1.875, 13.9375]
[28.9375, -1.875, 13.9375]
[21.625, 26.9375, 49.75]
[21.625, 26.9375, 49.75]
[21.625, 26.9375, 49.75]
[59.75, 53.125, 79.0625]
[59.75, 53.125, 79.0625]
[109.5, 90.6875, 106.0625]
[109.5, 90.6875, 106.0625]
[134.75, 134.9375, 133.0]
[134.75, 134.9375, 133.0]
[110.75, 176.25, 161.5]
[110.75, 176.25, 161.5]
[33.375, 216.3125, 177.75]
[33.375, 216.3125, 177.75]
[-84.1875, 234.375, 160.375]
[-202.1875, 141.75, 131.1875]
[-202.1875, 141.75, 131.1875]
[-202.1875, 141.75, 131.1875]
[-328.875, -4.625, 168.8125]
[-328.875, -4.625, 168.8125]
[-99.25, -23.9375, 167.875]
[-99.25, -23.9375, 167.875]
[203.8125, 89.0625, 132.3125]
[203.8125, 89.0625, 132.3125]
[255.6875, 95.3125, 81.0625]
[255.6875, 95.3125, 81.0625]
[252.5625, 51.875, 23.9375]
[252.5625, 51.875, 23.9375]
[173.8125, -2.4375, -39.0]
[173.8125, -2.4375, -39.0]
[83.0, -42.6875, -58.375]
[83.0, -42.6875, -58.375]
[78.4375, -55.625, -43.0]
[78.4375, -55.625, -43.0]
[135.875, -52.4375, -34.875]
[135.875, -52.4375, -34.875]
[161.4375, -15.875, -38.25]
[161.4375, -15.875, -38.25]
[101.625, 20.875, -40.1875]
[101.625, 20.875, -40.1875]
[-12.25, 47.8125, -11.375]
[-12.25, 47.8125, -11.375]
[-100.0, 54.875, 16.3125]
[-171.125, 43.25, 30.25]
[-171.125, 43.25, 30.25]
[-171.125, 43.25, 30.25]
[-196.125, 20.0, 33.875]
[-196.125, 20.0, 33.875]
[-173.5625, -5.875, 44.8125]
[-96.875, -15.5625, 62.75]
[-96.875, -15.5625, 62.75]
[-96.875, -15.5625, 62.75]
[-29.25, -15.25, 70.5]
[-23.6875, -12.375, 64.0]
[-23.6875, -12.375, 64.0]
[-39.4375, -16.3125, 63.6875]
[-39.4375, -16.3125, 63.6875]
[-5.9375, -13.625, 54.25]
[-5.9375, -13.625, 54.25]
[-5.9375, -13.625, 54.25]
[37.375, -16.75, 34.6875]
[34.5625, -33.375, 18.9375]
[34.5625, -33.375, 18.9375]
[-3.5, -47.5625, 8.875]
[-3.5, -47.5625, 8.875]
[-29.75, -56.0, 5.6875]
[-29.75, -56.0, 5.6875]
[-29.75, -56.0, 5.6875]
[-30.0625, -57.25, 3.4375]
[-22.75, -52.625, -3.5]
[-22.75, -52.625, -3.5]
[-24.0, -48.625, -3.875]
[-24.0, -48.625, -3.875]
[-33.625, -42.625, -5.1875]
[-33.625, -42.625, -5.1875]
[-23.0, -28.8125, -6.125]
[-23.0, -28.8125, -6.125]
[-6.0625, -12.625, -5.9375]
[-6.0625, -12.625, -5.9375]
[-7.25, -3.25, 1.375]
[-7.25, -3.25, 1.375]
[-14.25, 0.375, 5.1875]
[-14.25, 0.375, 5.1875]
[-12.6875, 4.25, 4.875]
[-12.6875, 4.25, 4.875]
[1.5, 8.0625, 6.0625]
[1.5, 8.0625, 6.0625]
[3.125, 6.0, 5.1875]
[3.125, 6.0, 5.1875]
[-3.5, -1.375, 8.125]
[-3.5, -1.375, 8.125]
[-8.6875, -6.3125, 7.625]
[-8.6875, -6.3125, 7.625]
[-0.1875, -6.25, 3.0]
[-0.1875, -6.25, 3.0]
[4.8125, -4.75, -4.8125]
[4.8125, -4.75, -4.8125]
[4.8125, -4.75, -4.8125]
[-3.6875, -7.0625, -12.5]
[-11.0625, -13.3125, -19.1875]
[-11.0625, -13.3125, -19.1875]
[-12.375, -18.0, -32.375]
[-12.375, -18.0, -32.375]
[-12.375, -18.0, -32.375]
[-6.9375, -16.8125, -47.125]
[4.75, -12.5625, -72.0625]
[4.75, -12.5625, -72.0625]
[10.125, -19.1875, -96.125]
[10.125, -19.1875, -96.125]
[3.875, -34.125, -108.0]
[3.875, -34.125, -108.0]
[4.3125, -42.0, -114.1875]
[4.3125, -42.0, -114.1875]
[14.5625, -39.75, -125.8125]
[14.5625, -39.75, -125.8125]
[19.25, -41.5625, -150.625]
[19.25, -41.5625, -150.625]
[7.4375, -53.75, -155.9375]
[7.4375, -53.75, -155.9375]
[-20.6875, -68.3125, -145.875]
[-20.6875, -68.3125, -145.875]
[-37.5625, -68.75, -140.5]
[-37.5625, -68.75, -140.5]
[-35.25, -61.6875, -139.625]
[-35.25, -61.6875, -139.625]
[-27.6875, -56.875, -128.8125]
[-27.6875, -56.875, -128.8125]
[-19.0, -53.9375, -107.625]
[-19.0, -53.9375, -107.625]
[-7.375, -47.625, -93.625]
[-7.375, -47.625, -93.625]
[-14.75, -44.6875, -88.6875]
[-14.75, -44.6875, -88.6875]
[-38.75, -45.875, -79.25]
[-38.75, -45.875, -79.25]
[-54.1875, -41.5, -68.625]
[-54.1875, -41.5, -68.625]
[-40.1875, -28.5, -55.5]
[-40.1875, -28.5, -55.5]
[-9.0625, -13.1875, -43.9375]
[-9.0625, -13.1875, -43.9375]
[-4.8125, -7.6875, -39.4375]
[-4.8125, -7.6875, -39.4375]
[-16.0, -4.875, -32.9375]
[-20.4375, -0.9375, -26.4375]
[-20.4375, -0.9375, -26.4375]
[-23.875, 3.3125, -15.5625]
[-23.875, 3.3125, -15.5625]
[-16.625, 8.5, -5.8125]
[-16.625, 8.5, -5.8125]
[-15.8125, 10.5, -1.125]
[-15.8125, 10.5, -1.125]
[-21.75, 10.1875, -1.75]
