[-32.625, 0.8125, -8.75]
[-30.375, -4.5, -11.4375]
[-26.0625, -8.875, -11.0]
[-5.9375, -6.625, 1.1875]
[-5.9375, -6.625, 1.1875]
[-5.9375, -6.625, 1.1875]
[5.0, -7.75, 6.125]
[-8.3125, -13.0625, 5.8125]
[-8.3125, -13.0625, 5.8125]
[-8.3125, -13.0625, 5.8125]
[-6.4375, -3.3125, 9.875]
[-6.4375, -3.3125, 9.875]
[-3.625, 5.625, 4.25]
[-3.625, 5.625, 4.25]
[-5.5, 2.3125, -2.125]
[-4.375, -3.5, 0.9375]
[-4.375, -3.5, 0.9375]
[-0.75, -4.0625, 0.25]
[-0.75, -4.0625, 0.25]
[-0.75, -4.0625, 0.25]
[0.75, -1.0625, -2.0]
[0.75, -1.0625, -2.0]
[0.5625, -0.125, -0.625]
[-4.0625, -2.8125, -1.75]
[-4.0625, -2.8125, -1.75]
[0.9375, -4.9375, -1.9375]
[0.9375, -4.9375, -1.9375]
[0.9375, -4.9375, -1.9375]
[8.4375, -5.25, 0.25]
[10.9375, -6.875, 1.0]
[10.9375, -6.875, 1.0]
[9.4375, -4.625, -0.25]
[9.4375, -4.625, -0.25]
[9.4375, -4.625, -0.25]
[11.0, -1.1875, -0.5625]
[15.375, 1.875, 1.875]
[15.375, 1.875, 1.875]
[19.6875, 7.8125, 4.875]
[19.6875, 7.8125, 4.875]
[19.6875, 7.8125, 4.875]
[23.5625, 18.125, 12.0]
[23.5625, 18.125, 12.0]
[29.9375, 33.9375, 18.1875]
[43.8125, 59.5625, 22.4375]
[43.8125, 59.5625, 22.4375]
[74.375, 95.5625, 24.125]
[74.375, 95.5625, 24.125]
[109.625, 139.6875, 20.8125]
[109.625, 139.6875, 20.8125]
[125.1875, 170.5, 15.25]
[125.1875, 170.5, 15.25]
[127.3125, 192.0, 17.5625]
[127.3125, 192.0, 17.5625]
[120.25, 203.625, 24.5625]
[120.25, 203.625, 24.5625]
[91.75, 221.5, 28.125]
[91.75, 221.5, 28.125]
[55.9375, 243.0, 31.0625]
[55.9375, 243.0, 31.0625]
[36.6875, 270.5, 33.0625]
[36.6875, 270.5, 33.0625]
[13.75, 284.25, 36.6875]
[13.75, 284.25, 36.6875]
[6.125, 281.1875, 42.875]
[6.125, 281.1875, 42.875]
[3.6875, 273.75, 43.0]
[6.3125, 266.8125, 37.125]
[6.3125, 266.8125, 37.125]
[6.3125, 266.8125, 37.125]
[10.3125, 261.6875, 26.0]
[3.125, 246.5, 16.5]
[3.125, 246.5, 16.5]
[-4.0625, 222.4375, 4.75]
[-4.0625, 222.4375, 4.75]
[-4.0625, 222.4375, 4.75]
[-3.5, 197.25, -11.5]
[-1.625, 174.5625, -24.6875]
[-1.625, 174.5625, -24.6875]
[-2.25, 149.625, -35.75]
[-2.25, 149.625, -35.75]
[-17.8125, 123.4375, -47.25]
[-17.8125, 123.4375, -47.25]
[-34.625, 97.4375, -54.4375]
[-34.625, 97.4375, -54.4375]
[-37.9375, 75.875, -58.3125]
[-37.9375, 75.875, -58.3125]
[-34.4375, 56.6875, -64.5625]
[-34.4375, 56.6875, -64.5625]
[-37.3125, 36.375, -70.0625]
[-44.8125, 16.3125, -72.125]
[-44.8125, 16.3125, -72.125]
[-44.8125, 16.3125, -72.125]
[-65.0625, 7.3125, -74.0625]
[-65.0625, 7.3125, -74.0625]
[-80.875, 3.125, -79.375]
[-80.875, 3.125, -79.375]
[-64.625, 19.8125, -94.6875]
[-64.625, 19.8125, -94.6875]
[-27.875, 5.375, -122.625]
[-27.875, 5.375, -122.625]
[36.3125, -17.875, -93.875]
[54.5, -12.0625, -55.625]
[54.5, -12.0625, -55.625]
[54.5, -12.0625, -55.625]
[28.4375, -4.875, -75.875]
[28.4375, -4.875, -75.875]
[-12.6875, -9.5, -51.1875]
[-20.625, -16.9375, -25.1875]
[-20.625, -16.9375, -25.1875]
[-21.0, -17.0, -7.125]
[-21.0, -17.0, -7.125]
[-21.0, -17.0, -7.125]
[-21.0, -17.0, -7.125]
[8.875, -5.5, -21.8125]
[8.875, -5.5, -21.8125]
[8.875, -5.5, -21.8125]
[-9.8125, -3.125, -12.0]
[-9.8125, -3.125, -12.0]
[-6.0625, -6.4375, -9.625]
[6.125, -11.625, -4.0625]
[6.125, -11.625, -4.0625]
[45.4375, -7.0625, 0.3125]
[45.4375, -7.0625, 0.3125]
[45.4375, -7.0625, 0.3125]
[43.0, 1.875, -9.3125]
[11.75, -5.625, -6.1875]
[11.75, -5.625, -6.1875]
[-5.375, -22.0, 8.6875]
[-5.375, -22.0, 8.6875]
[-13.1875, -28.1875, 7.875]
[-13.1875, -28.1875, 7.875]
[6.5625, -27.4375, -3.625]
[6.5625, -27.4375, -3.625]
[19.625, -30.75, -7.3125]
[19.625, -30.75, -7.3125]
[28.4375, -40.4375, -7.6875]
[28.4375, -40.4375, -7.6875]
[26.8125, -55.5625, -6.3125]
[26.8125, -55.5625, -6.3125]
[25.4375, -74.9375, -3.0625]
[25.4375, -74.9375, -3.0625]
[41.5625, -93.0625, -2.125]
[41.5625, -93.0625, -2.125]
[65.4375, -110.125, 2.125]
[65.4375, -110.125, 2.125]
[83.3125, -129.6875, 5.5]
[83.3125, -129.6875, 5.5]
[91.9375, -150.9375, 8.75]
[91.9375, -150.9375, 8.75]
[95.4375, -173.4375, 15.4375]
[95.4375, -173.4375, 15.4375]
[94.4375, -198.125, 23.3125]
[84.0625, -220.6875, 25.875]
[84.0625, -220.6875, 25.875]
[77.4375, -238.1875, 27.5625]
[77.4375, -238.1875, 27.5625]
[74.875, -249.9375, 28.125]
[74.875, -249.9375, 28.125]
[74.875, -249.9375, 28.125]
[65.25, -251.9375, 29.4375]
[56.8125, -251.25, 30.9375]
[56.8125, -251.25, 30.9375]
[53.0, -247.1875, 30.25]
[53.0, -247.1875, 30.25]
[43.0, -233.75, 29.0]
[43.0, -233.75, 29.0]
[17.375, -214.125, 26.8125]
[17.375, -214.125, 26.8125]
[0.6875, -194.8125, 20.8125]
[0.6875, -194.8125, 20.8125]
[7.3125, -174.1875, 17.1875]
[7.3125, -174.1875, 17.1875]
[7.6875, -153.6875, 15.8125]
[7.6875, -153.6875, 15.8125]
[-16.5625, -132.1875, 18.4375]
[-16.5625, -132.1875, 18.4375]
[-29.75, -114.4375, 15.1875]
[-29.75, -114.4375, 15.1875]
[-29.75, -114.4375, 15.1875]
[-34.875, -96.3125, 14.0625]
[-51.0625, -82.0, 14.625]
[-51.0625, -82.0, 14.625]
[-57.5, -63.9375, 9.5]
[-57.5, -63.9375, 9.5]
[-48.5, -46.5625, 2.0]
[-44.5, -33.9375, -2.0625]
[-44.5, -33.9375, -2.0625]
[-44.5, -33.9375, -2.0625]
[-50.5, -26.125, -1.625]
[-50.5, -26.125, -1.625]
[-49.875, -24.0625, 2.8125]
[-35.625, -22.5625, 5.375]
[-35.625, -22.5625, 5.375]
[-25.125, -26.625, 0.625]
[-25.125, -26.625, 0.625]
[-25.125, -26.625, 0.625]
[-14.0, -32.8125, 0.875]
[1.3125, -23.1875, 16.25]
[1.3125, -23.1875, 16.25]
[12.6875, 7.0625, 19.5625]
[12.6875, 7.0625, 19.5625]
[12.6875, 7.0625, 19.5625]
[4.6875, 16.75, -4.125]
[-27.0625, 1.9375, -6.3125]
[-27.0625, 1.9375, -6.3125]
[-16.3125, -3.5625, -2.3125]
[-16.3125, -3.5625, -2.3125]
[-16.3125, -3.5625, -2.3125]
[7.4375, -2.1875, -3.5625]
[11.0, 0.4375, -1.375]
[11.0, 0.4375, -1.375]
[5.25, -1.875, 4.125]
[5.25, -1.875, 4.125]
[0.8125, -4.125, 6.875]
[0.875, -6.5, 6.75]
[0.875, -6.5, 6.75]
[7.0, -6.8125, 7.75]
[7.0, -6.8125, 7.75]
[7.0, -6.8125, 7.75]
[11.1875, -4.125, 6.875]
[9.125, -4.375, 6.3125]
[9.125, -4.375, 6.3125]
[9.125, -4.375, 6.3125]
[7.5625, -11.125, 8.1875]
[7.5625, -11.125, 8.1875]
[17.1875, -12.625, 7.375]
[17.1875, -12.625, 7.375]
[35.125, -6.5, 9.625]
[44.0, 9.0, 16.0625]
[44.0, 9.0, 16.0625]
[39.5625, 31.25, 23.75]
[39.5625, 31.25, 23.75]
[33.6875, 57.125, 25.5625]
[33.6875, 57.125, 25.5625]
[42.5625, 88.3125, 23.6875]
[42.5625, 88.3125, 23.6875]
