(-2, -5, 1, -1, -6, -14, 12, -8, 0)
(-3, -6, -3, -10, 1, -3, -90, -1, 0)
(0, -1, -5, 5, 2, 12, 71, 0, 0)
(3, 2, -1, 0, 0, -5, -19, -1, 0)
(1, 2, 1, 2, -5, -16, -62, -4, 0)
(-2, 0, -1, -5, -1, -5, -32, -2, 0)
(-2, 0, -1, -5, -1, -5, -32, -2, 0)
(0, 3, 0, -1, -4, -7, 35, -5, 0)
(-2, -1, 1, 5, -1, -4, 45, -2, 0)
(0, -3, 0, 4, 1, -1, -36, 2, 0)
(0, -3, 0, 4, 1, -1, -36, 2, 0)
(0, -1, -2, -2, 0, 0, -48, 3, 0)
(-2, -1, -2, 1, 1, -7, -39, -3, 0)
(-2, -1, -2, 1, 1, -7, -39, -3, 0)
(-4, -4, -3, -7, -1, -4, 33, -4, 0)
(-3, -3, -4, -5, -6, -13, -29, -8, 0)
(-3, -3, -4, -5, -6, -13, -29, -8, 0)
(1, -4, 0, 1, 1, 4, -7, 2, 0)
(1, -4, 0, 1, 1, 4, -7, 2, 0)
(1, 7, 3, 5, 0, -3, -16, -2, 0)
(1, 7, 3, 5, 0, -3, -16, -2, 0)
(4, 3, 3, -1, 0, 20, 42, 4, 0)
(0, 1, -1, 0, 1, -1, -14, 0, 0)
(0, 1, -1, 0, 1, -1, -14, 0, 0)
(-1, 0, -4, -1, 2, 9, 47, -1, 0)
(-1, -3, -5, -3, -2, 9, 22, 4, 0)
(-1, -3, -5, -3, -2, 9, 22, 4, 0)
(-3, 1, 0, 2, -3, -8, -33, -2, 0)
(2, 1, 1, 0, -3, 3, 18, 3, 0)
(-1, -2, -3, -1, 0, -11, -38, -4, 0)
(-1, 0, 1, 5, 4, 12, 36, 3, 0)
(0, 0, 1, -2, -7, -3, -18, 2, 0)
(-2, -2, 2, -2, -2, -7, 1, -5, 0)
(-2, -3, -1, -2, -4, -5, -7, -3, 0)
(4, 2, 0, 1, -2, -3, 8, -2, 0)
(4, 2, 0, 1, -2, -3, 8, -2, 0)
(0, 2, -1, -6, -12, -8, -8, -2, 0)
(-4, -5, -4, -12, 12, 7, 7, 0, 0)
(-4, -5, -4, -12, 12, 7, 7, 0, 0)
(-2, -2, -8, -8, 14, -5, 10, -2, 0)
(-1, 1, 13, 13, -8, -8, -12, -2, 0)
(-2, -3, -13, -6, -7, -3, -6, 0, 0)
(2, 1, 0, -3, 4, 13, 23, 6, 0)
(4, -1, 3, -10, 3, 6, 26, 5, 0)
(-11, -6, 4, 10, 12, -2, -25, -7, 0)
(0, 2, -2, 8, 12, 5, 6, 1, 0)
(-1, -1, 1, 16, 7, 7, 13, -1, 0)
(-1, -1, 1, 16, 7, 7, 13, -1, 0)
(-6, 1, -1, -39, -12, -3, 4, -4, 0)
(8, 3, -3, -13, -4, 0, 3, 0, 0)
(-4, -4, 1, 3, -17, -21, -87, -6, 0)
(1, -6, 10, 8, 3, 9, 20, 15, 0)
(11, 2, 0, 16, 18, 6, -12, -14, 0)
(-5, -1, 10, 45, -9, -4, -5, 34, 0)
(-5, -1, 10, 45, -9, -4, -5, 34, 0)
(-2, 2, 14, 44, -13, -15, -7, -20, 0)
(-2, 2, 14, 44, -13, -15, -7, -20, 0)
(-2, 2, 14, 44, -13, -15, -7, -20, 0)
(-2, 2, 14, 44, -13, -15, -7, -20, 0)
(-2, 0, 5, 25, 0, -6, -19, -26, 0)
(-4, -19, -1, -9, 1, 4, 2, 16, 0)
(-4, -19, -1, -9, 1, 4, 2, 16, 0)
(-14, 26, -31, 6, -3, -9, 24, -21, 0)
(43, -27, 10, 63, -3, -7, 1, 16, 0)
(-45, 63, 34, 50, 5, -1, -7, -23, 0)
(-45, 63, 34, 50, 5, -1, -7, -23, 0)
(49, 86, -108, -26, -35, -23, -4, 46, 0)
(-9, 19, 6, 77, 40, 24, 10, 2, 0)
(-65, -67, -6, -64, -27, -14, -26, 37, 0)
(-65, -67, -6, -64, -27, -14, -26, 37, 0)
(33, -115, 52, 47, -14, -21, -33, 57, 0)
(-25, -72, -116, -18, 0, 11, -9, -106, 0)
(-9, -23, 75, -6, 9, -8, 30, 17, 0)
(-14, -113, 2, -102, -33, -14, -12, -4, 0)
(-44, -68, 18, -45, -82, -53, -60, -20, 0)
(-53, 26, 78, 89, 62, 31, 34, -40, 0)
(-14, 48, 127, -24, 17, 20, 37, -26, 0)
(29, -7, -82, -8, -14, -9, -15, 93, 0)
(29, -7, -82, -8, -14, -9, -15, 93, 0)
(10, -46, 93, 31, 25, 14, 21, 12, 0)
(56, 6, -102, -123, -87, -24, -41, -37, 0)
(0, 24, 25, -45, -26, 2, 66, -29, 0)
(-82, -57, 53, -14, -24, 18, 11, -23, 0)
(28, 87, -63, 8, 32, 13, 25, 18, 0)
(28, 87, -63, 8, 32, 13, 25, 18, 0)
(-38, -52, 51, -37, -9, 13, 13, 20, 0)
(17, 58, 95, 11, 12, 8, 42, 23, 0)
(22, -105, -122, 36, 4, 4, -20, 43, 0)
(-29, 69, 14, 24, -8, -25, -16, -65, 0)
(-39, -5, -29, 18, 26, 9, -11, -4, 0)
(10, -20, -2, 14, 30, 26, -1, -42, 0)
(-60, -124, -38, -28, -4, 14, 11, 10, 0)
(71, 62, 10, -13, 2, -15, -15, 24, 0)
(-31, -19, 52, 23, -2, -12, -12, -83, 0)
(-51, -23, 4, -33, -6, 2, 17, 18, 0)
(-51, -23, 4, -33, -6, 2, 17, 18, 0)
(50, -61, -55, -92, -17, -18, -8, 21, 0)
(7, -78, -17, -11, 5, 16, 7, 12, 0)
(7, -78, -17, -11, 5, 16, 7, 12, 0)
(17, 16, -69, -23, -2, -14, -17, -13, 0)
(-13, 61, 37, 0, 6, 3, -6, -56, 0)
(-13, 61, 37, 0, 6, 3, -6, -56, 0)
(9, 34, 49, -46, 0, -9, -21, -18, 0)
(-48, 7, 35, 4, -8, 0, 8, 35, 0)
(-48, 7, 35, 4, -8, 0, 8, 35, 0)
(-40, -21, -68, 28, 25, 1, 2, -1, 0)
(-37, -33, 12, -26, -16, -17, -19, -51, 0)
(-13, -15, -5, 35, 25, 20, 19, 4, 0)
(-12, 4, 26, 14, -9, -9, -4, -23, 0)
(-10, -1, 4, -42, -15, -12, -16, -12, 0)
(8, 0, -15, 13, 1, 5, -2, 1, 0)
(0, -2, 22, 10, -4, 0, -3, 12, 0)
(6, -12, 19, -18, -3, -2, -3, -29, 0)
(-7, -1, -11, 14, 1, -10, -16, 4, 0)
(-3, -3, 15, -4, -7, -10, -10, 0, 0)
(1, 17, 23, 4, -2, -4, -12, -3, 0)
(-9, -5, -18, -16, 0, 9, -5, -1, 0)
(9, 2, 18, 3, -3, 0, 3, 3, 0)
(1, 3, 18, -11, 14, 6, -6, 0, 0)
(-1, 5, 2, 4, -5, -6, 8, -3, 0)
(2, 3, 9, 11, 1, 12, 3, 3, 0)
(-3, 4, 7, -6, -1, 3, 8, -5, 0)
(-7, -3, -9, -7, -6, -7, -8, -5, 0)
(-7, -3, -9, -7, -6, -7, -8, -5, 0)
(-4, -1, -4, 2, -1, 5, 1, -1, 0)
(0, -2, -22, -2, 0, -11, 23, -9, 0)
(3, -3, 16, -7, 1, 15, 35, 1, 0)
(10, 0, 0, -8, -6, -16, -13, -7, 0)
(10, 0, 0, -8, -6, -16, -13, -7, 0)
(0, -3, 26, -2, -4, -4, -13, 3, 0)
(0, -3, 26, -2, -4, -4, -13, 3, 0)
(0, -3, 26, -2, -4, -4, -13, 3, 0)
(3, -4, 1, -3, -3, -5, 3, 2, 0)
(1, 3, -34, -18, -1, -9, -35, -2, 0)
(1, 3, -34, -18, -1, -9, -35, -2, 0)
(-6, -4, -25, 4, -1, 7, 43, -2, 0)
(-6, -4, -25, 4, -1, 7, 43, -2, 0)
(-5, -5, -4, 8, -2, -3, -2, -7, 0)
(-5, -5, -4, 8, -2, -3, -2, -7, 0)
(-3, 0, -6, 2, -2, -9, -12, -1, 0)
(1, 1, 9, 3, 0, 10, -12, -1, 0)
(2, 1, -6, 4, 2, -3, -41, 2, 0)
(3, 5, -8, -12, -4, 0, 4, 1, 0)
(1, 2, -8, 5, 14, 27, 12, 6, 0)
(1, 2, -8, 5, 14, 27, 12, 6, 0)
(-2, -6, -48, -17, -7, 3, 41, 1, 0)
(-2, -6, -48, -17, -7, 3, 41, 1, 0)
(-1, 0, 25, 7, 3, 5, -7, 1, 0)
(3, 3, -10, 2, 3, 1, -19, -2, 0)
(-2, -4, 8, 7, -3, -11, -43, -6, 0)
(-1, 1, 9, -2, 3, 14, 10, 0, 0)
(-2, -5, 12, 1, 3, 20, 61, 3, 0)
(3, 9, 18, 5, 6, 14, 27, 9, 0)
(-4, 0, -21, 3, -3, -17, -65, -2, 0)
(-4, 0, -21, 3, -3, -17, -65, -2, 0)
(-2, 0, 12, -2, -3, -11, 5, -4, 0)
(-2, 1, 11, 10, -1, -31, -83, -7, 0)
