[-2.8125, 1.625, 0.9375]
[-1.75, 1.875, 1.0625]
[-1.75, 1.875, 1.0625]
[-1.75, 1.875, 1.0625]
[-1.375, -0.5625, 1.25]
[-1.375, -0.5625, 1.25]
[-0.875, -1.9375, 0.4375]
[-0.875, -1.9375, 0.4375]
[-0.875, -1.9375, 0.4375]
[-0.875, -1.9375, 0.4375]
[-0.875, -1.9375, 0.4375]
[-1.375, -4.9375, -0.625]
[-1.375, -4.9375, -0.625]
[-1.375, -4.9375, -0.625]
[0.8125, -7.3125, -1.5]
[0.8125, -7.3125, -1.5]
[0.8125, -7.3125, -1.5]
[0.8125, -7.3125, -1.5]
[0.8125, -7.3125, -1.5]
[17.75, -7.75, 5.875]
[17.75, -7.75, 5.875]
[17.75, -7.75, 5.875]
[17.75, -7.75, 5.875]
[17.75, -7.75, 5.875]
[11.25, -10.875, 8.5]
[11.25, -10.875, 8.5]
[14.8125, -9.3125, 10.8125]
[14.8125, -9.3125, 10.8125]
[14.8125, -9.3125, 10.8125]
[26.75, -11.875, 22.375]
[26.75, -11.875, 22.375]
[48.6875, -6.25, 34.4375]
[48.6875, -6.25, 34.4375]
[48.6875, -6.25, 34.4375]
[116.625, 32.5625, 71.125]
[116.625, 32.5625, 71.125]
[162.5625, 60.5, 95.375]
[162.5625, 60.5, 95.375]
[162.5625, 60.5, 95.375]
[165.5625, 117.6875, 131.9375]
[165.5625, 117.6875, 131.9375]
[60.4375, 134.0625, 142.1875]
[60.4375, 134.0625, 142.1875]
[60.4375, 134.0625, 142.1875]
[60.4375, 134.0625, 142.1875]
[-126.6875, 166.3125, 185.0]
[-126.6875, 166.3125, 185.0]
[-88.0625, 144.0, 188.5625]
[-88.0625, 144.0, 188.5625]
[-88.0625, 144.0, 188.5625]
[-88.0625, 144.0, 188.5625]
[-193.1875, 6.75, 193.4375]
[-193.1875, 6.75, 193.4375]
[-193.1875, 6.75, 193.4375]
[-60.75, 61.625, 228.125]
[-60.75, 61.625, 228.125]
[-60.75, 61.625, 228.125]
[-60.75, 61.625, 228.125]
[-60.75, 61.625, 228.125]
[64.4375, -71.8125, 55.75]
[64.4375, -71.8125, 55.75]
[64.4375, -71.8125, 55.75]
[64.4375, -71.8125, 55.75]
[116.3125, -20.1875, -58.1875]
[116.3125, -20.1875, -58.1875]
[114.375, 7.0625, -92.625]
[114.375, 7.0625, -92.625]
[114.375, 7.0625, -92.625]
[114.375, 7.0625, -92.625]
[114.375, 7.0625, -92.625]
[114.375, 7.0625, -92.625]
[70.75, -66.625, -77.75]
[70.75, -66.625, -77.75]
[70.75, -66.625, -77.75]
[63.4375, -18.125, -96.1875]
[63.4375, -18.125, -96.1875]
[63.4375, -18.125, -96.1875]
[80.3125, 19.1875, -84.5]
[80.3125, 19.1875, -84.5]
[80.3125, 19.1875, -84.5]
[80.3125, 19.1875, -84.5]
[80.3125, 19.1875, -84.5]
[3.6875, 8.9375, -5.6875]
[3.6875, 8.9375, -5.6875]
[-117.0625, -21.375, 5.125]
[-117.0625, -21.375, 5.125]
[-117.0625, -21.375, 5.125]
[-117.0625, -21.375, 5.125]
[-117.0625, -21.375, 5.125]
[-76.125, -31.375, 72.6875]
[-76.125, -31.375, 72.6875]
[-76.125, -31.375, 72.6875]
[-76.125, -31.375, 72.6875]
[-119.1875, -144.0625, 102.0625]
[-119.1875, -144.0625, 102.0625]
[-81.0, -108.5, 144.9375]
[-81.0, -108.5, 144.9375]
[-81.0, -108.5, 144.9375]
[-81.0, -108.5, 144.9375]
[-81.0, -108.5, 144.9375]
[-81.0, -108.5, 144.9375]
[-15.9375, -58.1875, 19.125]
[-15.9375, -58.1875, 19.125]
[-15.9375, -58.1875, 19.125]
[-15.9375, -58.1875, 19.125]
[-15.9375, -58.1875, 19.125]
[-47.3125, -35.3125, -6.0]
[-47.3125, -35.3125, -6.0]
[-47.3125, -35.3125, -6.0]
[-47.3125, -35.3125, -6.0]
[-19.8125, -2.6875, -5.5]
[-19.8125, -2.6875, -5.5]
[-19.8125, -2.6875, -5.5]
[-19.8125, -2.6875, -5.5]
[-16.125, -1.375, -1.5]
[-16.125, -1.375, -1.5]
[-16.125, -1.375, -1.5]
[-16.125, -1.375, -1.5]
[1.1875, 9.625, 3.5625]
[1.1875, 9.625, 3.5625]
[1.1875, 9.625, 3.5625]
[1.1875, 9.625, 3.5625]
[1.1875, 9.625, 3.5625]
[-2.5625, 3.8125, 3.375]
[-2.5625, 3.8125, 3.375]
[-2.5625, 3.8125, 3.375]
[0.9375, 7.1875, 0.875]
[0.9375, 7.1875, 0.875]
[0.9375, 7.1875, 0.875]
[-0.125, 6.6875, -17.3125]
[-9.375, 2.0, -29.625]
[-9.375, 2.0, -29.625]
[-12.5625, -1.375, -36.9375]
[-12.9375, -2.5625, -43.5625]
[-12.9375, -2.5625, -43.5625]
[-12.9375, -2.5625, -43.5625]
[-3.875, -0.875, -58.375]
[-3.875, -0.875, -58.375]
[-0.375, -3.75, -81.8125]
[-0.375, -3.75, -81.8125]
[-2.4375, -12.5625, -101.6875]
[-2.4375, -12.5625, -101.6875]
[-8.9375, -26.875, -115.4375]
[-8.9375, -26.875, -115.4375]
[-18.5625, -40.0, -124.0625]
[-18.5625, -40.0, -124.0625]
[-18.5625, -40.0, -124.0625]
[-18.5625, -40.0, -124.0625]
[-33.9375, -49.75, -140.0]
[-33.9375, -49.75, -140.0]
[-48.75, -52.75, -145.125]
[-62.4375, -53.9375, -136.875]
[-62.4375, -53.9375, -136.875]
[-45.1875, -47.0625, -123.125]
[-45.1875, -47.0625, -123.125]
[-45.1875, -47.0625, -123.125]
[-19.875, -38.4375, -108.9375]
[-19.875, -38.4375, -108.9375]
[-30.4375, -38.1875, -101.375]
[-30.4375, -38.1875, -101.375]
[-50.8125, -38.9375, -87.4375]
[-50.8125, -38.9375, -87.4375]
[-49.8125, -31.375, -71.8125]
[-49.8125, -31.375, -71.8125]
[-49.8125, -31.375, -71.8125]
[-33.3125, -21.3125, -58.125]
[-17.75, -11.5, -41.6875]
[-17.75, -11.5, -41.6875]
[-23.4375, -6.625, -35.25]
[-23.4375, -6.625, -35.25]
[-32.75, -4.3125, -32.8125]
[-33.9375, -3.5, -27.875]
[-33.9375, -3.5, -27.875]
[-33.9375, -3.5, -27.875]
[-33.75, -4.4375, -19.125]
[-33.75, -4.4375, -19.125]
[-32.4375, -8.1875, -11.5]
[-26.75, -13.0625, -11.25]
[-26.75, -13.0625, -11.25]
[-26.75, -13.0625, -11.25]
[-21.875, -12.125, -2.125]
[-21.875, -12.125, -2.125]
[-17.4375, 7.4375, 5.75]
[-17.4375, 7.4375, 5.75]
[-17.3125, 17.1875, 0.9375]
[-17.3125, 17.1875, 0.9375]
[-18.875, 10.4375, -0.25]
[-18.875, 10.4375, -0.25]
[-18.875, 10.4375, -0.25]
[5.1875, 3.75, 3.8125]
[5.1875, 3.75, 3.8125]
[12.0, -1.3125, 3.8125]
[12.0, -1.3125, 3.8125]
[12.0, -1.3125, 3.8125]
[12.75, -5.6875, 3.5625]
[12.75, -5.6875, 3.5625]
[19.375, -5.25, 3.75]
[19.375, -5.25, 3.75]
[16.875, -3.125, 2.9375]
[16.875, -3.125, 2.9375]
[13.5, 2.0625, 2.0]
[13.5, 2.0625, 2.0]
[14.6875, 5.5625, 1.875]
[14.6875, 5.5625, 1.875]
[14.6875, 5.5625, 1.875]
[11.625, 11.375, 8.3125]
[11.625, 11.375, 8.3125]
[11.625, 11.375, 8.3125]
[101.25, 59.75, 56.25]
[101.25, 59.75, 56.25]
[153.6875, 89.3125, 80.5]
[153.6875, 89.3125, 80.5]
[174.1875, 113.625, 89.375]
[138.9375, 124.0, 101.75]
[138.9375, 124.0, 101.75]
[138.9375, 124.0, 101.75]
[138.9375, 124.0, 101.75]
[42.1875, 132.1875, 125.0625]
[-62.3125, 166.25, 146.25]
[-62.3125, 166.25, 146.25]
[-143.875, 215.5625, 169.125]
[-139.8125, 149.1875, 130.8125]
[-139.8125, 149.1875, 130.8125]
[-139.8125, 149.1875, 130.8125]
[-190.625, 0.0625, 157.4375]
[-190.625, 0.0625, 157.4375]
[-77.5625, -6.75, 182.25]
[-77.5625, -6.75, 182.25]
[18.0625, 82.375, 153.5625]
[18.0625, 82.375, 153.5625]
[18.0625, 82.375, 153.5625]
[187.875, 38.5625, -11.9375]
[187.875, 38.5625, -11.9375]
[35.25, -44.25, -78.1875]
[35.25, -44.25, -78.1875]
[35.25, -44.25, -78.1875]
[-8.8125, -54.1875, -77.6875]
[39.125, -12.8125, -73.5625]
[39.125, -12.8125, -73.5625]
[81.875, 3.5625, -66.625]
[81.875, 3.5625, -66.625]
[81.875, 3.5625, -66.625]
[103.0, -23.5625, -53.9375]
[148.4375, -45.25, -41.6875]
[148.4375, -45.25, -41.6875]
[148.4375, -45.25, -41.6875]
[188.6875, -45.0625, -31.875]
[188.6875, -45.0625, -31.875]
[149.25, -29.875, -25.125]
[149.25, -29.875, -25.125]
[32.0625, -11.625, -26.8125]
[-75.125, -0.5625, -18.125]
[-75.125, -0.5625, -18.125]
[-75.125, -0.5625, -18.125]
[-82.9375, 6.375, 0.875]
[-82.9375, 6.375, 0.875]
[-69.3125, 4.375, 24.9375]
[-69.3125, 4.375, 24.9375]
[-62.875, -5.25, 41.875]
[-62.875, -5.25, 41.875]
[-62.875, -5.25, 41.875]
[-34.875, -14.125, 70.4375]
[-34.875, -14.125, 70.4375]
[-23.8125, -19.75, 78.5]
[-23.8125, -19.75, 78.5]
[-53.8125, -28.0, 87.125]
[-53.8125, -28.0, 87.125]
[-53.8125, -28.0, 87.125]
[-50.3125, -31.8125, 91.5625]
[-55.75, -46.6875, 95.1875]
[-55.75, -46.6875, 95.1875]
[-58.0625, -61.875, 104.75]
[-58.0625, -61.875, 104.75]
[-58.0625, -61.875, 104.75]
[-39.6875, -53.875, 104.3125]
[-39.6875, -53.875, 104.3125]
[-34.8125, -39.0, 86.5]
[-34.8125, -39.0, 86.5]
[-7.1875, -22.9375, 63.375]
[-7.1875, -22.9375, 63.375]
[-7.1875, -22.9375, 63.375]
[-28.5625, -37.9375, 32.75]
[-28.5625, -37.9375, 32.75]
[-30.875, -30.625, 17.0625]
[-30.875, -30.625, 17.0625]
[-30.875, -30.625, 17.0625]
[-30.875, -30.625, 17.0625]
[-4.5625, -7.5, 5.5625]
[-4.5625, -7.5, 5.5625]
[1.25, 2.0, -1.0]
[1.25, 2.0, -1.0]
[-8.75, -1.75, -4.75]
[-8.75, -1.75, -4.75]
[-2.1875, 3.1875, 0.3125]
[-2.1875, 3.1875, 0.3125]
[0.0, 6.8125, 2.875]
[0.0, 6.8125, 2.875]
[0.0, 6.8125, 2.875]
[2.875, 5.375, 5.375]
[-0.1875, 1.5, 3.5]
[-0.1875, 1.5, 3.5]
[-2.0625, -0.3125, -0.125]
[-2.0625, -0.3125, -0.125]
[-2.0, 0.5, -3.9375]
[-2.0, 0.5, -3.9375]
[-5.125, 2.4375, -5.25]
[-5.125, 2.4375, -5.25]
[-6.9375, 3.4375, -8.375]
[-6.9375, 3.4375, -8.375]
[-7.5, 2.875, -12.875]
[-7.5, 2.875, -12.875]
[-10.0625, 0.625, -20.5]
[-10.0625, 0.625, -20.5]
[-15.5625, -0.4375, -29.25]
[-14.375, -2.5, -38.875]
[-14.375, -2.5, -38.875]
[-14.375, -2.5, -38.875]
[-14.125, -5.9375, -48.375]
[-14.125, -5.9375, -48.375]
[-12.8125, -5.125, -58.625]
[-12.8125, -5.125, -58.625]
[-12.5625, -5.4375, -73.0625]
[-21.5, -9.125, -91.125]
[-21.5, -9.125, -91.125]
[-21.5, -9.125, -91.125]
[-30.25, -15.0, -114.5625]
[-37.3125, -23.5625, -132.25]
[-37.3125, -23.5625, -132.25]
[-37.3125, -23.5625, -132.25]
[-50.5, -30.375, -138.875]
[-45.6875, -29.5, -143.4375]
[-45.6875, -29.5, -143.4375]
[-46.6875, -29.75, -149.5]
[-46.6875, -29.75, -149.5]
[-53.5625, -33.875, -146.1875]
[-53.5625, -33.875, -146.1875]
[-46.25, -34.4375, -133.75]
[-46.25, -34.4375, -133.75]
[-37.0625, -31.25, -119.375]
[-37.0625, -31.25, -119.375]
[-35.5, -28.3125, -114.1875]
[-35.5, -28.3125, -114.1875]
[-28.75, -27.125, -110.3125]
[-26.8125, -28.3125, -95.9375]
[-26.8125, -28.3125, -95.9375]
[-26.8125, -28.3125, -95.9375]
[-20.1875, -23.75, -77.625]
[-20.1875, -23.75, -77.625]
[-14.8125, -15.125, -65.8125]
[-14.8125, -15.125, -65.8125]
[-29.0, -13.5, -59.5]
[-54.4375, -16.4375, -47.75]
[-54.4375, -16.4375, -47.75]
[-64.25, -12.25, -34.625]
[-64.25, -12.25, -34.625]
[-64.25, -12.25, -34.625]
[-37.0625, 1.6875, -23.1875]
[-37.0625, 1.6875, -23.1875]
[-18.9375, 7.5, -16.25]
[-18.9375, 7.5, -16.25]
[-18.9375, 7.5, -16.25]
[-32.1875, 5.0625, -8.625]
[-32.1875, 5.0625, -8.625]
[-19.5625, 9.5625, -2.0]
[-19.5625, 9.5625, -2.0]
[-17.3125, 10.25, 3.4375]
[-17.3125, 10.25, 3.4375]
[-12.6875, 6.6875, 6.5]
[-12.6875, 6.6875, 6.5]
[-4.75, 2.625, 5.0]
[-4.75, 2.625, 5.0]
[5.3125, -0.5625, 3.3125]
[5.3125, -0.5625, 3.3125]
[12.5, -2.1875, 4.125]
[12.5, -2.1875, 4.125]
[14.875, -4.6875, 5.25]
[14.875, -4.6875, 5.25]
[16.1875, -7.5, 4.1875]
[15.4375, -8.1875, 2.5]
[15.4375, -8.1875, 2.5]
[15.4375, -8.1875, 2.5]
[18.9375, -6.9375, 4.0]
[18.9375, -6.9375, 4.0]
[18.9375, -6.9375, 4.0]
