[9.9375, -10.875, 6.625]
[4.4375, -11.9375, 0.3125]
[5.5625, -8.3125, -2.1875]
[5.5625, -8.3125, -2.1875]
[5.5625, -8.3125, -2.1875]
[4.6875, -5.75, -1.6875]
[4.6875, -5.75, -1.6875]
[3.25, -6.3125, -0.75]
[3.25, -6.3125, -0.75]
[2.0, -7.375, -0.25]
[2.0, -7.375, -0.25]
[2.0, -7.375, -0.25]
[8.5625, -6.375, 4.1875]
[8.5625, -6.375, 4.1875]
[11.125, -7.0625, 8.1875]
[11.125, -7.0625, 8.1875]
[10.125, -7.3125, 8.1875]
[10.75, -7.8125, 6.6875]
[10.75, -7.8125, 6.6875]
[10.75, -7.8125, 6.6875]
[10.5625, -8.6875, 4.9375]
[10.5625, -8.6875, 4.9375]
[10.6875, -9.8125, 2.75]
[10.6875, -9.8125, 2.75]
[11.9375, -10.75, 3.0625]
[11.9375, -10.75, 3.0625]
[13.6875, -10.8125, 3.5]
[13.6875, -10.8125, 3.5]
[13.6875, -10.8125, 3.5]
[14.4375, -12.0, 3.6875]
[14.4375, -12.0, 3.6875]
[14.4375, -12.0, 3.6875]
[14.4375, -12.0, 3.6875]
[14.4375, -12.0, 3.6875]
[23.5, -18.9375, 1.5]
[23.5, -18.9375, 1.5]
[27.375, -17.5, 3.1875]
[27.375, -17.5, 3.1875]
[26.8125, -13.875, 4.75]
[26.8125, -13.875, 4.75]
[26.8125, -13.875, 4.75]
[24.9375, -7.6875, 16.5]
[24.9375, -7.6875, 16.5]
[36.125, -0.375, 36.5625]
[36.125, -0.375, 36.5625]
[58.75, 18.6875, 69.125]
[58.75, 18.6875, 69.125]
[80.8125, 41.125, 104.75]
[80.8125, 41.125, 104.75]
[105.0, 66.1875, 152.125]
[105.0, 66.1875, 152.125]
[133.5625, 96.5, 200.125]
[133.5625, 96.5, 200.125]
[148.625, 119.5, 230.4375]
[148.625, 119.5, 230.4375]
[163.375, 133.0, 246.625]
[163.375, 133.0, 246.625]
[163.375, 133.0, 246.625]
[176.6875, 142.3125, 258.5625]
[176.6875, 142.3125, 258.5625]
[176.6875, 142.3125, 258.5625]
[187.25, 159.4375, 257.875]
[171.0, 175.0625, 240.375]
[171.0, 175.0625, 240.375]
[171.0, 175.0625, 240.375]
[141.0, 170.6875, 202.6875]
[141.0, 170.6875, 202.6875]
[128.875, 152.1875, 186.3125]
[128.875, 152.1875, 186.3125]
[111.625, 127.25, 171.5625]
[111.625, 127.25, 171.5625]
[95.0, 108.3125, 152.5625]
[95.0, 108.3125, 152.5625]
[77.0625, 90.625, 122.5]
[77.0625, 90.625, 122.5]
[65.0625, 66.875, 98.25]
[65.0625, 66.875, 98.25]
[58.625, 50.625, 80.875]
[58.625, 50.625, 80.875]
[54.3125, 35.9375, 61.75]
[54.3125, 35.9375, 61.75]
[42.6875, 23.625, 35.9375]
[42.6875, 23.625, 35.9375]
[27.8125, 11.625, 17.5625]
[27.8125, 11.625, 17.5625]
[25.3125, 8.4375, 6.3125]
[25.3125, 8.4375, 6.3125]
[27.1875, 10.0625, -0.4375]
[27.1875, 10.0625, -0.4375]
[27.6875, 17.0, -13.6875]
[29.5625, 26.375, -25.625]
[29.5625, 26.375, -25.625]
[29.5625, 26.375, -25.625]
[35.25, 42.0625, -35.5625]
[35.25, 42.0625, -35.5625]
[35.25, 42.0625, -35.5625]
[41.0, 60.3125, -39.25]
[41.375, 69.625, -40.8125]
[41.375, 69.625, -40.8125]
[55.375, 82.1875, -39.3125]
[55.375, 82.1875, -39.3125]
[72.0625, 78.6875, -47.0625]
[93.875, 74.0625, -57.5]
[93.875, 74.0625, -57.5]
[93.875, 74.0625, -57.5]
[96.125, 57.75, -84.5]
[96.125, 57.75, -84.5]
[105.5625, 34.8125, -111.625]
[122.6875, 45.1875, -114.25]
[122.6875, 45.1875, -114.25]
[140.6875, 60.5625, -105.5625]
[140.6875, 60.5625, -105.5625]
[140.6875, 60.5625, -105.5625]
[145.375, 72.6875, -74.0625]
[155.0, 80.9375, -32.4375]
[155.0, 80.9375, -32.4375]
[158.125, 97.25, -12.0625]
[158.125, 97.25, -12.0625]
[158.0, 105.125, -15.25]
[158.0, 105.125, -15.25]
[168.4375, 106.25, -37.125]
[168.4375, 106.25, -37.125]
[167.1875, 88.8125, -82.125]
[167.1875, 88.8125, -82.125]
[136.8125, 59.0625, -131.4375]
