[-46.1875, -34.25, -17.375]
[-34.3125, -9.375, -15.0]
[-34.3125, -9.375, -15.0]
[-34.3125, -9.375, -15.0]
[-36.6875, -6.0625, -11.625]
[-28.1875, -2.875, -13.8125]
[-28.1875, -2.875, -13.8125]
[-15.5625, 0.0625, -18.5]
[-15.5625, 0.0625, -18.5]
[-8.625, -3.0, -22.375]
[-8.625, -3.0, -22.375]
[-6.875, -10.25, -24.6875]
[-6.875, -10.25, -24.6875]
[1.9375, -14.1875, -25.0]
[1.9375, -14.1875, -25.0]
[1.9375, -14.1875, -25.0]
[9.8125, -13.4375, -22.375]
[9.75, -16.75, -19.625]
[9.75, -16.75, -19.625]
[18.0625, -20.3125, -17.875]
[18.0625, -20.3125, -17.875]
[16.625, -23.6875, -16.1875]
[16.625, -23.6875, -16.1875]
[3.5625, -25.8125, -13.25]
[3.5625, -25.8125, -13.25]
[3.5625, -25.8125, -13.25]
[-3.0625, -25.6875, -8.5625]
[4.0, -20.0625, 0.125]
[4.0, -20.0625, 0.125]
[13.5, -11.5, 2.875]
[13.5, -11.5, 2.875]
[13.5, -11.5, 2.875]
[18.25, -10.625, 1.1875]
[23.0, -16.5625, -1.0]
[30.0625, -20.9375, -1.1875]
[30.0625, -20.9375, -1.1875]
[30.0625, -20.9375, -1.1875]
[40.375, -19.875, 1.6875]
[45.5, -19.0, 3.875]
[45.5, -19.0, 3.875]
[50.0, -20.25, 4.6875]
[50.0, -20.25, 4.6875]
[59.625, -19.0, 7.4375]
[59.625, -19.0, 7.4375]
[67.25, -13.875, 12.1875]
[67.25, -13.875, 12.1875]
[66.25, -3.625, 20.0625]
[66.25, -3.625, 20.0625]
[62.3125, 12.0, 28.4375]
[62.3125, 12.0, 28.4375]
[61.6875, 34.0, 36.25]
[61.6875, 34.0, 36.25]
[61.6875, 34.0, 36.25]
[61.1875, 56.3125, 44.4375]
[66.0625, 82.375, 58.25]
[66.0625, 82.375, 58.25]
[80.4375, 114.125, 80.125]
[80.4375, 114.125, 80.125]
[99.375, 152.8125, 108.625]
[99.375, 152.8125, 108.625]
[126.5625, 193.1875, 135.875]
[126.5625, 193.1875, 135.875]
[153.0, 231.1875, 164.3125]
[153.0, 231.1875, 164.3125]
[177.625, 261.0, 184.5]
[177.625, 261.0, 184.5]
[193.6875, 269.5625, 197.8125]
[193.6875, 269.5625, 197.8125]
[193.6875, 269.5625, 197.8125]
[225.0, 257.625, 208.125]
[276.75, 222.625, 220.0625]
[276.75, 222.625, 220.0625]
[299.875, 178.375, 226.625]
[299.875, 178.375, 226.625]
[299.875, 178.375, 226.625]
[260.4375, 160.25, 226.125]
[206.5, 176.0, 203.4375]
[206.5, 176.0, 203.4375]
[164.625, 175.875, 165.1875]
[164.625, 175.875, 165.1875]
[164.625, 175.875, 165.1875]
[192.4375, 130.3125, 147.5625]
[174.75, 87.9375, 132.9375]
[174.75, 87.9375, 132.9375]
[120.625, 43.1875, 132.5625]
[120.625, 43.1875, 132.5625]
[120.625, 43.1875, 132.5625]
[90.5625, 20.625, 117.3125]
[90.5, 23.3125, 96.8125]
[90.5, 23.3125, 96.8125]
[95.0, 43.125, 70.75]
[95.0, 43.125, 70.75]
[96.125, 68.5625, 49.25]
[96.125, 68.5625, 49.25]
[110.375, 89.3125, 19.25]
[110.375, 89.3125, 19.25]
[107.3125, 104.75, -12.0]
[107.3125, 104.75, -12.0]
[107.3125, 104.75, -12.0]
[93.6875, 119.375, -41.125]
[144.0, 130.5625, -46.4375]
[144.0, 130.5625, -46.4375]
[224.125, 124.375, -49.0625]
[224.125, 124.375, -49.0625]
[224.125, 124.375, -49.0625]
[264.875, 97.4375, -53.875]
[243.0, 66.4375, -52.4375]
[243.0, 66.4375, -52.4375]
[243.0, 66.4375, -52.4375]
[216.5, 57.75, -64.25]
[187.25, 66.75, -71.75]
[187.25, 66.75, -71.75]
[172.4375, 63.1875, -86.8125]
[172.4375, 63.1875, -86.8125]
[125.75, 35.5, -116.5625]
[125.75, 35.5, -116.5625]
[62.3125, -4.0625, -141.25]
[62.3125, -4.0625, -141.25]
[26.9375, -34.25, -156.0625]
[26.9375, -34.25, -156.0625]
[-11.625, -50.875, -141.875]
[-11.625, -50.875, -141.875]
[-25.0625, -33.8125, -83.8125]
[-25.0625, -33.8125, -83.8125]
[25.375, -21.3125, -9.625]
[25.375, -21.3125, -9.625]
[45.9375, -27.8125, 44.1875]
[45.9375, -27.8125, 44.1875]
[45.9375, -27.8125, 44.1875]
