[4.75, -0.8125, -13.375]
[-1.5625, -8.375, -11.75]
[-1.5625, -8.375, -11.75]
[-1.625, -15.1875, -9.4375]
[-1.625, -15.1875, -9.4375]
[-1.625, -15.1875, -9.4375]
[1.8125, -16.0, -5.0625]
[4.9375, -11.0625, -0.0625]
[4.9375, -11.0625, -0.0625]
[4.9375, -11.0625, -0.0625]
[6.125, -5.6875, 3.5]
[6.125, -5.6875, 3.5]
[7.3125, -2.5, 4.625]
[6.3125, -0.1875, 4.0]
[6.3125, -0.1875, 4.0]
[6.3125, -0.1875, 4.0]
[5.75, -0.125, 5.5625]
[5.9375, -0.3125, 6.75]
[5.9375, -0.3125, 6.75]
[5.625, -1.375, 5.8125]
[5.625, -1.375, 5.8125]
[5.625, -1.375, 5.8125]
[5.5625, -0.625, 4.375]
[7.625, -0.75, 4.125]
[7.625, -0.75, 4.125]
[7.625, -0.75, 4.125]
[7.8125, -1.1875, 4.625]
[8.4375, -1.875, 3.625]
[8.4375, -1.875, 3.625]
[8.375, -3.1875, 2.875]
[8.375, -3.1875, 2.875]
[8.375, -3.1875, 2.875]
[10.3125, -5.0625, 2.75]
[13.5, -6.5625, 4.3125]
[13.5, -6.5625, 4.3125]
[13.5, -6.5625, 4.3125]
[16.8125, -8.875, 5.75]
[16.8125, -8.875, 5.75]
[20.0625, -12.875, 6.4375]
[26.9375, -15.125, 6.4375]
[26.9375, -15.125, 6.4375]
[33.875, -15.75, 7.8125]
[33.875, -15.75, 7.8125]
[42.0, -14.5, 10.25]
[42.0, -14.5, 10.25]
[50.9375, -11.125, 12.5625]
[50.9375, -11.125, 12.5625]
[60.25, -8.5625, 16.4375]
[60.25, -8.5625, 16.4375]
[69.3125, -7.25, 21.3125]
[69.3125, -7.25, 21.3125]
[76.0625, -2.4375, 24.625]
[76.0625, -2.4375, 24.625]
[83.375, 12.0625, 26.0625]
[83.375, 12.0625, 26.0625]
[90.0625, 40.625, 26.875]
[90.0625, 40.625, 26.875]
[79.1875, 78.5625, 25.1875]
[79.1875, 78.5625, 25.1875]
[56.9375, 125.3125, 22.0625]
[56.9375, 125.3125, 22.0625]
[39.0, 175.375, 15.0625]
[39.0, 175.375, 15.0625]
[25.625, 217.5, 8.6875]
[25.625, 217.5, 8.6875]
[10.5625, 249.1875, 3.25]
[10.5625, 249.1875, 3.25]
[10.5625, 249.1875, 3.25]
[-10.6875, 270.4375, 0.3125]
[-19.8125, 290.75, -2.3125]
[-19.8125, 290.75, -2.3125]
[-21.5, 302.8125, -3.6875]
[-21.5, 302.8125, -3.6875]
[-26.0625, 307.4375, -7.0625]
[-26.0625, 307.4375, -7.0625]
[-26.0625, 307.4375, -7.0625]
[-30.0625, 302.3125, -8.125]
[-27.375, 287.8125, -12.125]
[-27.375, 287.8125, -12.125]
[-25.875, 267.125, -16.4375]
[-25.875, 267.125, -16.4375]
[-27.5625, 239.875, -21.5]
[-27.5625, 239.875, -21.5]
[-23.75, 203.4375, -25.75]
[-23.75, 203.4375, -25.75]
[-23.75, 203.4375, -25.75]
[-21.0625, 162.625, -29.9375]
[-24.625, 118.5, -32.375]
[-24.625, 118.5, -32.375]
[-27.5625, 82.4375, -33.1875]
[-27.5625, 82.4375, -33.1875]
[-20.5625, 58.875, -34.8125]
[-20.5625, 58.875, -34.8125]
[-8.8125, 40.0625, -36.5]
[-8.8125, 40.0625, -36.5]
[-0.1875, 32.875, -36.875]
[-0.1875, 32.875, -36.875]
[11.9375, 25.0625, -37.0]
[11.9375, 25.0625, -37.0]
[27.5, 18.8125, -55.6875]
[27.5, 18.8125, -55.6875]
[10.0625, 17.625, -55.9375]
[10.0625, 17.625, -55.9375]
[13.4375, 10.8125, -44.6875]
[13.4375, 10.8125, -44.6875]
[5.875, 3.75, -34.0]
[5.875, 3.75, -34.0]
[-14.3125, -12.25, -28.5625]
[-14.3125, -12.25, -28.5625]
[-15.625, -18.0625, -17.75]
[-15.625, -18.0625, -17.75]
[-8.375, -17.3125, -13.1875]
[-8.375, -17.3125, -13.1875]
[-8.8125, -14.1875, -6.5]
[-8.8125, -14.1875, -6.5]
[-16.3125, -15.0625, -5.0]
[-16.3125, -15.0625, -5.0]
[-3.375, -13.5, -7.25]
[-2.75, -11.6875, -17.5625]
[-2.75, -11.6875, -17.5625]
[-2.75, -11.6875, -17.5625]
[-16.4375, -10.1875, -13.875]
[-16.4375, -10.1875, -13.875]
[-1.375, -8.1875, -10.3125]
[-1.375, -8.1875, -10.3125]
[-6.5625, -12.4375, -9.75]
[-6.5625, -12.4375, -9.75]
[-10.0, -15.875, -6.875]
[-10.0, -15.875, -6.875]
[-1.1875, -20.6875, -4.25]
[-1.1875, -20.6875, -4.25]
[0.0, -26.75, -3.375]
[0.0, -26.75, -3.375]
[-4.125, -39.4375, -6.75]
[-4.125, -39.4375, -6.75]
[-3.5625, -54.5625, -6.6875]
[-3.5625, -54.5625, -6.6875]
[8.625, -74.6875, -7.3125]
[8.625, -74.6875, -7.3125]
[16.3125, -100.0625, -5.625]
[16.3125, -100.0625, -5.625]
[19.1875, -128.75, -4.25]
[19.1875, -128.75, -4.25]
[27.875, -157.8125, -1.75]
[27.875, -157.8125, -1.75]
[31.125, -183.6875, 0.1875]
[31.125, -183.6875, 0.1875]
[38.3125, -204.375, 1.0625]
[38.3125, -204.375, 1.0625]
[47.9375, -222.0625, 4.8125]
[51.6875, -236.9375, 6.625]
[51.6875, -236.9375, 6.625]
[50.125, -254.0, 9.25]
[50.125, -254.0, 9.25]
[52.625, -269.3125, 8.25]
[52.625, -269.3125, 8.25]
[69.25, -263.8125, 8.0]
[69.25, -263.8125, 8.0]
[69.25, -263.8125, 8.0]
[67.0, -239.75, 11.125]
[53.25, -217.125, 10.875]
[53.25, -217.125, 10.875]
[54.8125, -203.5625, 9.5625]
[54.8125, -203.5625, 9.5625]
[54.8125, -203.5625, 9.5625]
[47.375, -188.0, 5.6875]
[18.75, -165.75, 2.8125]
[18.75, -165.75, 2.8125]
[2.0, -134.375, 2.75]
[2.0, -134.375, 2.75]
[2.0, -134.375, 2.75]
[6.125, -106.1875, 3.0]
[2.1875, -83.0625, 2.0]
[2.1875, -83.0625, 2.0]
[-18.75, -61.0625, -1.3125]
[-18.75, -61.0625, -1.3125]
[-18.75, -61.0625, -1.3125]
[-27.75, -38.75, -4.625]
[-27.75, -38.75, -4.625]
[-27.75, -38.75, -4.625]
[-20.5625, -8.75, -5.75]
[-20.5625, -8.75, -5.75]
[-20.9375, -1.375, -5.3125]
[-20.9375, -1.375, -5.3125]
[-15.0, 6.9375, -3.6875]
[-15.0, 6.9375, -3.6875]
[-11.3125, 11.875, -2.8125]
[-11.3125, 11.875, -2.8125]
[-7.625, 11.875, -1.625]
[-7.625, 11.875, -1.625]
[-0.125, 8.3125, 0.3125]
[-0.125, 8.3125, 0.3125]
[-1.4375, 4.8125, -0.25]
[-1.4375, 4.8125, -0.25]
[-1.25, 2.375, 0.6875]
[-1.25, 2.375, 0.6875]
[0.25, 0.875, 1.0625]
[0.25, 0.875, 1.0625]
[1.4375, -0.625, 0.6875]
[1.4375, -0.625, 0.6875]
[-0.5, -0.1875, 0.0]
[-0.5, -0.1875, 0.0]
[-4.5, 0.4375, 0.0]
[-4.5, 0.4375, 0.0]
[-7.1875, 1.0, -0.875]
[-7.1875, 1.0, -0.875]
[-6.125, 1.5, -1.625]
[-6.125, 1.5, -1.625]
[-3.75, 1.8125, -1.5625]
[-3.5, 0.9375, 0.125]
[-3.5, 0.9375, 0.125]
[-3.5, 0.9375, 0.125]
[-3.25, 0.9375, 1.0]
[-3.25, 0.9375, 1.0]
[-2.5625, 0.5625, 1.0]
[-2.5625, 0.5625, 1.0]
[-0.375, 0.0625, 0.875]
[-0.375, 0.0625, 0.875]
[2.1875, -1.0, 1.125]
