[-27.1875, 12.125, -0.9375]
[-10.625, -0.4375, 6.1875]
[-10.625, -0.4375, 6.1875]
[-10.625, -0.4375, 6.1875]
[-8.375, -2.1875, 3.75]
[-8.375, -2.1875, 3.75]
[-8.375, -2.1875, 3.75]
[-6.5625, 2.4375, 2.875]
[-6.5625, 2.4375, 2.875]
[-6.25, 0.1875, 2.4375]
[-6.25, 0.1875, 2.4375]
[-1.875, -1.375, 3.3125]
[1.5, -2.5, 4.75]
[1.5, -2.5, 4.75]
[4.25, -4.625, 7.1875]
[4.25, -4.625, 7.1875]
[7.375, -5.5, 7.625]
[7.375, -5.5, 7.625]
[12.0, -4.6875, 7.5]
[12.0, -4.6875, 7.5]
[10.25, -4.375, 6.4375]
[10.25, -4.375, 6.4375]
[7.6875, -6.125, 5.875]
[7.6875, -6.125, 5.875]
[7.6875, -6.125, 5.875]
[9.0625, -8.8125, 5.5]
[11.9375, -10.6875, 6.0]
[11.9375, -10.6875, 6.0]
[14.6875, -10.875, 7.75]
[14.6875, -10.875, 7.75]
[14.6875, -10.875, 7.75]
[16.625, -9.9375, 8.3125]
[16.625, -9.9375, 8.3125]
[16.625, -9.9375, 8.3125]
[16.625, -9.9375, 8.3125]
[18.25, -8.0, 14.875]
[18.25, -8.0, 14.875]
[18.25, -8.0, 14.875]
[21.75, -5.375, 21.3125]
[21.75, -5.375, 21.3125]
[21.75, -5.375, 21.3125]
[33.1875, -2.25, 31.125]
[49.6875, 4.6875, 44.0625]
[49.6875, 4.6875, 44.0625]
[64.9375, 9.5625, 59.6875]
[64.9375, 9.5625, 59.6875]
[67.0625, 10.1875, 80.0]
[67.0625, 10.1875, 80.0]
[71.8125, 12.875, 99.625]
[71.8125, 12.875, 99.625]
[79.6875, 23.0, 114.8125]
[79.6875, 23.0, 114.8125]
[86.625, 31.4375, 126.6875]
[88.375, 36.9375, 138.0]
[88.375, 36.9375, 138.0]
[87.6875, 39.375, 150.25]
[87.6875, 39.375, 150.25]
[87.6875, 39.375, 150.25]
[83.0625, 40.0625, 159.1875]
[82.4375, 48.0625, 160.3125]
[82.4375, 48.0625, 160.3125]
[81.5, 54.25, 157.8125]
[81.5, 54.25, 157.8125]
[81.5, 54.25, 157.8125]
[77.9375, 57.25, 160.6875]
[71.625, 54.5625, 160.8125]
[59.0, 48.25, 159.25]
[59.0, 48.25, 159.25]
[59.0, 48.25, 159.25]
[54.625, 43.8125, 154.125]
[51.0625, 40.4375, 144.5]
[51.0625, 40.4375, 144.5]
[49.3125, 32.6875, 133.8125]
[49.3125, 32.6875, 133.8125]
[49.3125, 32.6875, 133.8125]
[55.4375, 26.375, 121.4375]
[55.4375, 26.375, 121.4375]
[54.1875, 22.5, 112.25]
[54.1875, 22.5, 112.25]
[37.0625, 15.875, 102.4375]
[37.0625, 15.875, 102.4375]
[19.625, 9.875, 91.125]
[15.0, 3.625, 77.5625]
[15.0, 3.625, 77.5625]
[14.5625, 1.25, 66.8125]
[14.5625, 1.25, 66.8125]
[14.5625, 1.25, 66.8125]
[13.75, -0.5625, 60.9375]
[9.1875, -2.5625, 52.5]
[9.1875, -2.5625, 52.5]
[-5.9375, -3.5625, 44.3125]
[-5.9375, -3.5625, 44.3125]
[-10.5, -6.5, 35.5625]
[-10.5, -6.5, 35.5625]
[-13.375, -8.625, 23.75]
[-13.375, -8.625, 23.75]
[-22.8125, -2.625, 12.0]
[-22.8125, -2.625, 12.0]
[-26.5, -5.25, -0.625]
[-26.5, -5.25, -0.625]
[-27.0, -11.0, -10.25]
[-27.0, -11.0, -10.25]
[-19.4375, -14.875, -14.875]
[-19.4375, -14.875, -14.875]
[-16.0625, -15.3125, -17.125]
[-16.0625, -15.3125, -17.125]
[-26.75, -13.5, -15.625]
[-26.75, -13.5, -15.625]
[-27.4375, -16.1875, -14.5]
[-27.4375, -16.1875, -14.5]
[-5.0625, -20.75, -13.1875]
[-5.0625, -20.75, -13.1875]
[8.375, -17.5, -8.8125]
[8.375, -17.5, -8.8125]
[-3.6875, -16.1875, -5.4375]
[-3.6875, -16.1875, -5.4375]
[-5.0625, -12.0625, -3.0625]
[-5.0625, -12.0625, -3.0625]
