(0, 1, -1, -5, -2, -4, 12, 0, 0)
(2, -2, -8, -10, -6, -20, -3, 3, 0)
(8, 13, 13, 16, 19, 54, 1, 11, 0)
(-3, -15, -10, -15, -7, -18, -28, -7, 0)
(-3, -9, -7, -4, -6, -43, 36, -7, 0)
(-3, -9, -7, -4, -6, -43, 36, -7, 0)
(-6, 1, -3, -5, -3, 1, -8, -6, 0)
(9, 9, 1, -2, -3, 8, 29, 0, 0)
(-2, -5, -3, -6, -6, -25, -39, -3, 0)
(3, 10, 3, 9, 4, -10, -35, -6, 0)
(-6, -7, 0, -2, -13, -56, -68, -5, 0)
(3, 5, -3, -5, -4, -33, -53, -9, 0)
(3, 5, -3, -5, -4, -33, -53, -9, 0)
(-1, 6, 3, 0, 3, 21, 50, 6, 0)
(1, -3, -4, -4, -2, -4, -27, -3, 0)
(1, -3, -4, -4, -2, -4, -27, -3, 0)
(1, 5, 1, 4, 7, 26, 34, 3, 0)
(-7, -14, -2, -1, 0, 1, 41, -3, 0)
(1, 0, -3, 0, -4, -7, -14, -2, 0)
(-1, -1, -3, 1, 1, 17, 37, 0, 0)
(6, 23, 7, 4, 1, 13, 9, 6, 0)
(6, 23, 7, 4, 1, 13, 9, 6, 0)
(-1, -3, -6, -2, 4, 16, 35, 2, 0)
(-1, -3, -6, -2, 4, 16, 35, 2, 0)
(-1, -3, -6, -2, 4, 16, 35, 2, 0)
(-1, -4, -1, -1, -3, -7, -8, -5, 0)
(-1, -4, -1, -1, -3, -7, -8, -5, 0)
(-3, 1, 2, 6, 5, 18, -14, 4, 0)
(-1, -3, -1, -1, -4, -11, -23, -1, 0)
(-4, -10, -4, 1, -2, -8, 7, -2, 0)
(-4, -10, -4, 1, -2, -8, 7, -2, 0)
(2, 0, 1, -3, -1, 5, 39, 2, 0)
(2, 0, 1, -3, -1, 5, 39, 2, 0)
(0, 1, 2, -5, -5, -10, -17, -2, 0)
(0, 1, 2, -5, -5, -10, -17, -2, 0)
(-1, -5, -6, -2, -2, -3, -8, -2, 0)
(-4, -2, -3, -10, -5, -6, 5, -4, 0)
(-4, -2, -3, -10, -5, -6, 5, -4, 0)
(0, 2, -1, 0, 0, 0, 1, 2, 0)
(1, -1, 1, 0, -4, -7, -32, 0, 0)
(1, -1, 1, 0, -4, -7, -32, 0, 0)
(1, 0, -3, 1, 1, -2, -10, -1, 0)
(-2, -2, 0, 2, 1, -4, -1, -2, 0)
(-2, -2, 0, 2, 1, -4, -1, -2, 0)
(-2, -2, 0, 2, 1, -4, -1, -2, 0)
(-7, -1, -1, 1, -2, 1, 16, -4, 0)
(0, -5, -4, -6, -4, -5, -4, -1, 0)
(1, -2, 3, 3, 0, -2, -14, 0, 0)
(1, 3, -7, 3, 0, 33, 25, 6, 0)
(1, 3, -7, 3, 0, 33, 25, 6, 0)
(-1, -4, -1, -6, -1, -11, -18, -3, 0)
(-1, -4, -1, -6, -1, -11, -18, -3, 0)
(-1, -3, -2, -4, -3, -10, 6, 0, 0)
(-2, -4, 0, -1, 0, -8, -10, -2, 0)
(-2, -4, 0, -1, 0, -8, -10, -2, 0)
(-2, -4, 0, -1, 0, -8, -10, -2, 0)
(1, 3, -1, 3, 2, 1, 1, 0, 0)
(1, 3, -1, 3, 2, 1, 1, 0, 0)
(1, 1, 4, 7, 6, 8, 11, 0, 0)
(1, 1, 4, 7, 6, 8, 11, 0, 0)
(-2, 0, -1, -3, -4, -5, -10, -1, 0)
(-1, -1, 0, -1, -3, -2, -2, -2, 0)
(-1, 0, 2, 1, 1, 3, -2, 2, 0)
(1, 1, 3, -2, -3, -2, 0, 0, 0)
(-2, -1, -2, 18, -2, -5, -1, -2, 0)
(1, 1, -1, -20, -4, 1, 3, 1, 0)
(0, 0, -1, -17, -9, -3, 0, 0, 0)
(1, -2, -5, 8, -4, -1, -1, -2, 0)
(-2, -4, -12, -43, -9, -4, -2, 0, 0)
(-2, -4, -12, -43, -9, -4, -2, 0, 0)
(1, 0, 4, 35, 0, 0, -3, -1, 0)
(1, 0, 4, 35, 0, 0, -3, -1, 0)
(-2, -1, 5, 15, -8, 2, 5, -2, 0)
(0, 4, -19, 24, -4, -4, -2, -2, 0)
(0, 4, -19, 24, -4, -4, -2, -2, 0)
(-1, -6, -27, -24, -1, -1, 2, 1, 0)
(2, 10, 41, 12, 12, 1, -2, 1, 0)
(-1, 2, 20, 14, 12, 1, -1, -1, 0)
