[-7.125, -80.6875, -14.875]
[-15.3125, 0.125, -25.9375]
[-18.6875, 6.375, -26.4375]
[-15.6875, 6.75, -19.5]
[-15.6875, 6.75, -19.5]
[-13.1875, 3.9375, -11.5]
[-13.1875, 3.9375, -11.5]
[-13.1875, 3.9375, -11.5]
[-14.625, -1.25, -5.3125]
[-8.875, -3.5625, -1.625]
[-8.875, -3.5625, -1.625]
[-4.8125, -5.4375, 1.625]
[-4.8125, -5.4375, 1.625]
[-4.8125, -5.4375, 1.625]
[-4.8125, -5.4375, 1.625]
[-4.8125, -5.4375, 1.625]
[-1.375, 3.6875, 2.9375]
[-1.375, 3.6875, 2.9375]
[-2.3125, 6.8125, 1.25]
[-2.3125, 6.8125, 1.25]
[-2.3125, 6.8125, 1.25]
[-3.6875, 9.1875, -2.5]
[-3.6875, 9.1875, -2.5]
[-2.5625, 9.8125, -4.875]
[-2.5625, 9.8125, -4.875]
[-2.5625, 9.8125, -4.875]
[-2.5625, 9.8125, -4.875]
[-8.3125, 13.75, -13.75]
[-8.3125, 13.75, -13.75]
[-8.3125, 13.75, -13.75]
[-10.5625, 12.6875, -15.75]
[-6.0, 9.625, -15.25]
[-6.0, 9.625, -15.25]
[2.4375, 7.75, -14.9375]
[2.4375, 7.75, -14.9375]
[2.4375, 7.75, -14.9375]
[5.5, 9.0, -17.125]
[5.5, 9.0, -17.125]
[5.0, 13.5, -19.875]
[5.0, 13.5, -19.875]
[5.0, 13.5, -19.875]
[1.8125, 13.8125, -24.3125]
[1.8125, 13.8125, -24.3125]
[18.4375, 22.9375, -23.0]
[18.4375, 22.9375, -23.0]
[43.4375, 41.4375, -19.75]
[43.4375, 41.4375, -19.75]
[43.4375, 41.4375, -19.75]
[67.6875, 56.5, -15.1875]
[67.6875, 56.5, -15.1875]
[67.6875, 56.5, -15.1875]
[115.5625, 72.125, 17.1875]
[115.5625, 72.125, 17.1875]
[115.5625, 72.125, 17.1875]
[122.4375, 89.3125, 57.25]
[126.25, 122.0625, 109.4375]
[126.25, 122.0625, 109.4375]
[139.125, 146.4375, 167.125]
[139.125, 146.4375, 167.125]
[141.375, 152.0, 221.125]
[141.375, 152.0, 221.125]
[141.375, 152.0, 221.125]
[182.1875, 151.875, 268.0]
[206.5, 158.75, 295.1875]
[206.5, 158.75, 295.1875]
[206.5, 158.75, 295.1875]
[197.125, 164.4375, 302.5]
[197.125, 164.4375, 302.5]
[196.0, 166.6875, 299.0625]
[196.0, 166.6875, 299.0625]
[196.0, 166.6875, 299.0625]
[196.0, 166.6875, 299.0625]
[197.625, 151.25, 250.3125]
[197.625, 151.25, 250.3125]
[170.5625, 137.9375, 207.8125]
[170.5625, 137.9375, 207.8125]
[170.5625, 137.9375, 207.8125]
[89.4375, 92.875, 139.3125]
[89.4375, 92.875, 139.3125]
[81.1875, 79.3125, 105.8125]
[81.1875, 79.3125, 105.8125]
[66.3125, 67.25, 68.5625]
[66.3125, 67.25, 68.5625]
[66.3125, 67.25, 68.5625]
[27.9375, 41.5, 31.625]
[-2.5625, 15.3125, -3.6875]
[-2.5625, 15.3125, -3.6875]
[-12.75, -9.9375, -44.25]
[-12.75, -9.9375, -44.25]
[-33.0, -35.9375, -93.3125]
[-33.0, -35.9375, -93.3125]
[-33.0, -35.9375, -93.3125]
[-74.125, -66.6875, -159.9375]
[-122.75, -105.0625, -251.75]
[-122.75, -105.0625, -251.75]
[-122.75, -105.0625, -251.75]
[-122.75, -105.0625, -251.75]
[-122.75, -105.0625, -251.75]
[-231.0625, -171.75, -494.8125]
[-249.875, -173.75, -610.375]
[-249.875, -173.75, -610.375]
[-198.8125, -166.625, -730.6875]
[-198.8125, -166.625, -730.6875]
[-137.0625, -173.0625, -826.9375]
[-137.0625, -173.0625, -826.9375]
[-103.125, -222.25, -871.5]
[-103.125, -222.25, -871.5]
[-124.0, -258.0, -846.1875]
[-124.0, -258.0, -846.1875]
[-124.0, -258.0, -846.1875]
