[7.0, 27.25, 5.625]
[-10.5625, 6.5625, -3.375]
[-10.5625, 6.5625, -3.375]
[20.9375, -3.4375, -2.875]
[20.9375, -3.4375, -2.875]
[11.375, -16.25, -2.9375]
[11.375, -16.25, -2.9375]
[0.6875, -16.5, 4.0]
[2.1875, -8.125, 8.25]
[2.1875, -8.125, 8.25]
[2.0625, -5.0, 4.5625]
[2.0625, -5.0, 4.5625]
[-2.625, -5.625, 2.0625]
[-2.625, -5.625, 2.0625]
[-2.625, -5.625, 2.0625]
[-7.75, -6.125, 2.0625]
[-7.75, -6.125, 2.0625]
[-7.9375, -2.75, 2.625]
[-7.9375, -2.75, 2.625]
[-4.0, -1.25, 0.9375]
[-5.125, -2.3125, 0.75]
[-5.125, -2.3125, 0.75]
[-4.3125, -1.3125, 0.0625]
[-4.3125, -1.3125, 0.0625]
[-2.0625, 0.6875, 1.0625]
[-2.0625, 0.6875, 1.0625]
[-0.4375, 3.0625, 0.875]
[-0.4375, 3.0625, 0.875]
[-1.5, 3.0, -2.25]
[-1.5, 3.0, -2.25]
[-4.25, -0.0625, -5.9375]
[-4.25, -0.0625, -5.9375]
[-2.5625, 0.1875, -9.75]
[-2.5625, 0.1875, -9.75]
[-2.5625, 0.1875, -9.75]
[4.1875, -0.1875, -9.5]
[6.625, -4.4375, -8.3125]
[6.625, -4.4375, -8.3125]
[6.625, -4.4375, -8.3125]
[15.5, -12.25, -9.0625]
[15.5, -12.25, -9.0625]
[19.5, -13.4375, -10.5]
[19.5, -13.4375, -10.5]
[19.5, -13.4375, -10.5]
[22.1875, -13.875, -12.0625]
[22.1875, -13.875, -12.0625]
[22.1875, -13.875, -12.0625]
[24.0, -11.375, -13.1875]
[24.0, -11.375, -13.1875]
[27.9375, -3.75, -13.6875]
[31.375, 12.75, -13.875]
[31.375, 12.75, -13.875]
[31.375, 12.75, -13.875]
[33.375, 68.0625, -19.4375]
[33.375, 68.0625, -19.4375]
[33.375, 68.0625, -19.4375]
[35.875, 108.25, -19.75]
[35.875, 108.25, -19.75]
[37.3125, 160.1875, -14.1875]
[37.3125, 160.1875, -14.1875]
[41.875, 208.625, -7.0]
