[-27.9375, 34.6875, 2.8125]
[-4.5625, 5.9375, 5.3125]
[-4.5625, 5.9375, 5.3125]
[-2.8125, -3.6875, 3.875]
[-2.8125, -3.6875, 3.875]
[-2.8125, -3.6875, 3.875]
[-2.8125, -3.6875, 3.875]
[-1.75, -9.0, 2.1875]
[-1.75, -9.0, 2.1875]
[-2.8125, -11.625, 0.9375]
[-2.8125, -11.625, 0.9375]
[-2.8125, -11.625, 0.9375]
[-2.8125, -11.625, 0.9375]
[-3.875, -10.25, -3.8125]
[-3.875, -10.25, -3.8125]
[-2.3125, -10.1875, -5.125]
[-2.3125, -10.1875, -5.125]
[-2.3125, -10.1875, -5.125]
[-2.3125, -10.1875, -5.125]
[2.9375, -12.0, 1.125]
[2.9375, -12.0, 1.125]
[2.1875, -14.125, 2.75]
[2.1875, -14.125, 2.75]
[2.1875, -14.125, 2.75]
[16.6875, -19.125, 3.625]
[16.6875, -19.125, 3.625]
[16.6875, -19.125, 3.625]
[20.5, -20.6875, 3.4375]
[20.5, -20.6875, 3.4375]
[20.5, -20.6875, 3.4375]
[28.4375, -23.125, 1.6875]
[28.4375, -23.125, 1.6875]
[28.4375, -23.125, 1.6875]
[32.5625, -27.1875, 0.4375]
[32.5625, -27.1875, 0.4375]
[32.5625, -27.1875, 0.4375]
[32.5625, -27.1875, 0.4375]
[32.5625, -27.1875, 0.4375]
[32.5625, -27.1875, 0.4375]
[68.375, -23.5, 2.25]
[68.375, -23.5, 2.25]
[84.4375, -11.375, 16.8125]
[96.75, 2.875, 37.1875]
[96.75, 2.875, 37.1875]
[123.3125, 24.25, 57.8125]
[123.3125, 24.25, 57.8125]
[123.3125, 24.25, 57.8125]
[123.3125, 24.25, 57.8125]
[175.3125, 64.125, 88.125]
[175.3125, 64.125, 88.125]
[170.5, 83.9375, 94.8125]
[170.5, 83.9375, 94.8125]
[170.5, 83.9375, 94.8125]
[170.5, 83.9375, 94.8125]
[170.5, 83.9375, 94.8125]
[148.4375, 138.8125, 108.375]
[148.4375, 138.8125, 108.375]
[148.4375, 138.8125, 108.375]
[148.4375, 138.8125, 108.375]
[148.4375, 138.8125, 108.375]
[148.4375, 138.8125, 108.375]
[80.5625, 174.1875, 129.75]
[63.125, 181.375, 136.0625]
[63.125, 181.375, 136.0625]
[63.125, 181.375, 136.0625]
[63.125, 181.375, 136.0625]
[63.125, 181.375, 136.0625]
[50.75, 180.9375, 136.9375]
[50.75, 180.9375, 136.9375]
[43.9375, 174.4375, 134.375]
[43.9375, 174.4375, 134.375]
[43.9375, 174.4375, 134.375]
[43.9375, 174.4375, 134.375]
[43.9375, 174.4375, 134.375]
[-3.0, 145.8125, 109.9375]
[-3.0, 145.8125, 109.9375]
[-3.0, 145.8125, 109.9375]
[-3.0, 145.8125, 109.9375]
[-3.0, 145.8125, 109.9375]
[-3.0, 145.8125, 109.9375]
[-21.5, 114.0625, 94.0625]
[-21.5, 114.0625, 94.0625]
[-21.5, 114.0625, 94.0625]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-17.9375, 98.125, 86.375]
[-16.5, 5.375, 84.75]
[-16.5, 5.375, 84.75]
[-5.0, 0.9375, 87.875]
[-5.0, 0.9375, 87.875]
[-5.0, 0.9375, 87.875]
[-81.5625, 1.125, 15.0]
[-81.5625, 1.125, 15.0]
[-81.5625, 1.125, 15.0]
[-81.5625, 1.125, 15.0]
[-81.5625, 1.125, 15.0]
[-21.5625, -86.5, 142.3125]
[-21.5625, -86.5, 142.3125]
[124.375, -100.125, 144.1875]
[124.375, -100.125, 144.1875]
[124.375, -100.125, 144.1875]
[-81.0, -54.3125, -9.875]
[-81.0, -54.3125, -9.875]
[-81.0, -54.3125, -9.875]
