[0.125, 10.75, -3.375]
[1.6875, 0.4375, 5.8125]
[1.6875, 0.4375, 5.8125]
[5.9375, 0.75, 7.125]
[4.125, -4.0, 6.625]
[4.125, -4.0, 6.625]
[4.125, -4.0, 6.625]
[4.0625, -9.1875, 5.1875]
[4.0625, -9.1875, 5.1875]
[6.1875, -10.875, 5.875]
[6.1875, -10.875, 5.875]
[13.5625, -11.875, 9.9375]
[13.5625, -11.875, 9.9375]
[16.6875, -13.5625, 8.875]
[16.6875, -13.5625, 8.875]
[16.6875, -13.5625, 8.875]
[16.6875, -13.5625, 8.875]
[14.125, -11.9375, -1.125]
[14.125, -11.9375, -1.125]
[10.875, -9.5, -2.9375]
[10.875, -9.5, -2.9375]
[10.875, -9.5, -2.9375]
[10.25, -7.6875, -1.5]
[10.25, -7.6875, -1.5]
[10.25, -7.6875, -1.5]
[12.125, -6.0, 1.875]
[11.8125, -3.3125, 1.0625]
[11.8125, -3.3125, 1.0625]
[11.8125, -3.3125, 1.0625]
[5.3125, 1.5625, -7.5625]
[5.3125, 1.5625, -7.5625]
[3.5625, 0.875, -9.875]
[3.5625, 0.875, -9.875]
[5.125, -2.125, -9.5]
[5.125, -2.125, -9.5]
[5.125, -2.125, -9.5]
[9.3125, -4.4375, -9.375]
[9.3125, -4.4375, -9.375]
[13.125, -2.4375, -9.25]
[13.125, -2.4375, -9.25]
[13.125, -2.4375, -9.25]
[15.0, 0.3125, -9.9375]
[15.0, 0.3125, -9.9375]
[16.75, 4.4375, -11.125]
[16.75, 4.4375, -11.125]
[16.0, 10.625, -11.9375]
[17.875, 25.8125, -12.125]
[17.875, 25.8125, -12.125]
[13.375, 42.875, -10.9375]
[13.375, 42.875, -10.9375]
[13.375, 42.875, -10.9375]
[5.4375, 51.875, -4.125]
[5.4375, 51.875, -4.125]
[5.4375, 51.875, -4.125]
[25.625, 59.625, 21.625]
[77.375, 68.75, 58.25]
[77.375, 68.75, 58.25]
[117.6875, 74.5, 105.125]
[149.9375, 93.375, 172.375]
[149.9375, 93.375, 172.375]
[149.9375, 93.375, 172.375]
[183.6875, 117.375, 248.25]
[183.6875, 117.375, 248.25]
[233.25, 133.125, 315.625]
[233.25, 133.125, 315.625]
[286.625, 138.5, 348.6875]
[286.625, 138.5, 348.6875]
[284.125, 144.375, 361.3125]
[256.125, 142.6875, 358.5625]
[256.125, 142.6875, 358.5625]
[238.3125, 136.0, 334.4375]
[238.3125, 136.0, 334.4375]
[234.625, 132.75, 300.875]
[234.625, 132.75, 300.875]
[230.1875, 133.9375, 253.6875]
[230.1875, 133.9375, 253.6875]
[195.0625, 125.0, 201.0]
[195.0625, 125.0, 201.0]
