[-5.25, -6.375, 0.625]
[-6.375, -5.1875, 0.6875]
[-6.375, -5.1875, 0.6875]
[-4.375, -3.3125, -0.125]
[-4.375, -3.3125, -0.125]
[-1.875, -3.8125, 0.0]
[-1.875, -3.8125, 0.0]
[-1.75, -6.3125, -0.3125]
[-1.75, -6.3125, -0.3125]
[-3.75, -8.0, -1.375]
[-1.9375, -8.0, -1.5]
[-1.9375, -8.0, -1.5]
[0.875, -7.875, -1.3125]
[0.875, -7.875, -1.3125]
[0.875, -7.875, -1.3125]
[5.125, -10.125, -1.1875]
[5.125, -10.125, -1.1875]
[8.25, -12.3125, -2.5]
[10.25, -17.0625, -3.75]
[10.25, -17.0625, -3.75]
[9.4375, -18.9375, -5.125]
[9.4375, -18.9375, -5.125]
[15.3125, -18.9375, -5.375]
[15.3125, -18.9375, -5.375]
[15.3125, -18.9375, -5.375]
[19.5, -20.125, -3.875]
[19.5, -20.125, -3.875]
[22.125, -18.0, -3.8125]
[22.125, -18.0, -3.8125]
[22.125, -18.0, -3.8125]
[33.3125, 2.3125, 16.3125]
[33.3125, 2.3125, 16.3125]
[87.5625, 20.125, 40.125]
[87.5625, 20.125, 40.125]
[87.5625, 20.125, 40.125]
[87.5625, 20.125, 40.125]
[102.75, 33.4375, 81.125]
[102.75, 33.4375, 81.125]
[125.875, 43.875, 102.4375]
[125.875, 43.875, 102.4375]
[153.25, 58.875, 119.8125]
[153.25, 58.875, 119.8125]
[146.5, 71.75, 126.0]
[146.5, 71.75, 126.0]
[146.5, 71.75, 126.0]
[125.125, 80.3125, 123.6875]
[112.1875, 86.9375, 123.3125]
[112.1875, 86.9375, 123.3125]
[112.1875, 86.9375, 123.3125]
[112.1875, 86.9375, 123.3125]
[87.75, 93.1875, 112.6875]
[73.0, 101.3125, 103.5625]
[73.0, 101.3125, 103.5625]
[73.0, 101.3125, 103.5625]
[57.8125, 106.3125, 95.5625]
[57.8125, 106.3125, 95.5625]
[42.25, 103.8125, 87.75]
[42.25, 103.8125, 87.75]
[42.25, 103.8125, 87.75]
[42.25, 103.8125, 87.75]
[27.375, 87.4375, 69.5625]
[27.375, 87.4375, 69.5625]
[25.1875, 71.0, 64.125]
[25.1875, 71.0, 64.125]
[25.1875, 71.0, 64.125]
[25.1875, 71.0, 64.125]
[21.0625, 42.625, 43.5]
[21.0625, 42.625, 43.5]
[26.9375, 28.4375, 40.0]
[26.9375, 28.4375, 40.0]
[26.9375, 28.4375, 40.0]
[26.9375, 28.4375, 40.0]
[25.0, 4.0, 26.3125]
[25.0, 4.0, 26.3125]
[25.0, 4.0, 26.3125]
[20.75, -6.5, 22.9375]
[20.75, -6.5, 22.9375]
[20.75, -6.5, 22.9375]
[30.9375, -32.125, 35.0625]
[30.9375, -32.125, 35.0625]
[36.125, -42.5, 48.3125]
[36.125, -42.5, 48.3125]
[36.125, -42.5, 48.3125]
[-49.625, -32.5, 8.0]
[-49.625, -32.5, 8.0]
[-60.75, -46.1875, 33.0625]
[-60.75, -46.1875, 33.0625]
[-60.75, -46.1875, 33.0625]
[-60.75, -46.1875, 33.0625]
[54.0625, -41.3125, 137.4375]
[54.0625, -41.3125, 137.4375]
[125.5, -52.0, 166.6875]
[125.5, -52.0, 166.6875]
[125.5, -52.0, 166.6875]
[125.5, -52.0, 166.6875]
[-35.8125, -59.1875, 31.625]
[-35.8125, -59.1875, 31.625]
[-37.75, -51.8125, 12.625]
[-37.75, -51.8125, 12.625]
[-37.75, -51.8125, 12.625]
[-37.75, -51.8125, 12.625]
[8.625, -2.5, 4.25]
[8.625, -2.5, 4.25]
[-12.75, -5.9375, -2.5]
[-12.75, -5.9375, -2.5]
[-12.75, -5.9375, -2.5]
[-12.75, -5.9375, -2.5]
[-12.75, -5.9375, -2.5]
[-12.75, -5.9375, -2.5]
[-10.75, 4.8125, -3.3125]
[-10.75, 4.8125, -3.3125]
[-10.75, 4.8125, -3.3125]
[-10.75, 4.8125, -3.3125]
[-5.8125, 5.1875, -3.875]
[-5.8125, 5.1875, -3.875]
[-9.8125, -0.75, -7.0]
[-9.8125, -0.75, -7.0]
[-9.8125, -0.75, -7.0]
[-9.8125, -0.75, -7.0]
[-16.6875, 5.3125, -15.6875]
[-16.6875, 5.3125, -15.6875]
[-11.4375, 8.5, -21.1875]
[-11.4375, 8.5, -21.1875]
[-11.4375, 8.5, -21.1875]
[-11.4375, 8.5, -21.1875]
[-11.4375, 8.5, -21.1875]
