[3.375, -8.75, 6.8125]
[7.375, -10.3125, 5.5625]
[7.0625, -6.4375, 5.4375]
[7.0625, -6.4375, 5.4375]
[4.25, 2.1875, 5.5625]
[4.25, 2.1875, 5.5625]
[-0.8125, 6.0625, 4.3125]
[-0.8125, 6.0625, 4.3125]
[-0.75, 4.5625, 4.25]
[-0.75, 4.5625, 4.25]
[2.3125, 2.5, 4.75]
[2.3125, 2.5, 4.75]
[2.3125, 2.5, 4.75]
[7.3125, -0.625, 8.625]
[7.3125, -0.625, 8.625]
[7.3125, -0.625, 8.625]
[13.4375, -4.3125, 11.6875]
[13.4375, -4.3125, 11.6875]
[25.5625, -10.3125, 10.5625]
[25.5625, -10.3125, 10.5625]
[32.8125, -15.1875, 10.5]
[32.8125, -15.1875, 10.5]
[41.125, -16.375, 11.5625]
[41.125, -16.375, 11.5625]
[44.875, -15.75, 11.125]
[44.875, -15.75, 11.125]
[42.3125, -12.1875, 10.0]
[42.3125, -12.1875, 10.0]
[46.625, -4.625, 8.3125]
[46.625, -4.625, 8.3125]
[60.625, 8.875, 11.6875]
[60.625, 8.875, 11.6875]
[60.625, 8.875, 11.6875]
[70.375, 41.375, 26.5]
[70.375, 41.375, 26.5]
[77.5625, 62.1875, 37.1875]
[77.5625, 62.1875, 37.1875]
[77.5625, 62.1875, 37.1875]
[86.125, 80.5, 46.125]
[86.125, 80.5, 46.125]
[90.25, 96.875, 52.25]
[90.25, 96.875, 52.25]
[93.875, 116.125, 62.6875]
[93.875, 116.125, 62.6875]
[95.3125, 135.9375, 73.3125]
[95.3125, 135.9375, 73.3125]
[87.125, 147.4375, 89.9375]
[87.125, 147.4375, 89.9375]
[90.8125, 162.5625, 120.0]
[90.8125, 162.5625, 120.0]
[86.125, 171.5, 146.1875]
[86.125, 171.5, 146.1875]
[89.75, 179.875, 162.4375]
[89.75, 179.875, 162.4375]
[80.875, 180.9375, 181.5625]
[80.875, 180.9375, 181.5625]
[83.625, 178.4375, 188.0]
[83.625, 178.4375, 188.0]
[87.625, 167.4375, 179.9375]
[87.625, 167.4375, 179.9375]
[80.1875, 156.25, 171.8125]
[80.1875, 156.25, 171.8125]
[76.375, 145.375, 153.9375]
[76.375, 145.375, 153.9375]
